tweet_id	tweet_text	label
105902	"¿Cómo de frecuente es la pérdida de olfato en la #COVID19?👃 Respondemos a todas vuestras preguntas sobre la infección por COVID19.👉Lee el post realizado por el @david_viros https://t.co/7BFZSrFNyc"" https://t.co/HqNnGyY5ie"	Lit-News_mentions
105030	Esta es la razón por la que la COVID-19 hace que perdamos el olfato y el gusto https://t.co/Pxr6mWqerX	Lit-News_mentions
105190	Comercio de alimentos no propaga el coronavirus: FAO https://t.co/X5OYYecCb7 #Exclsior #Mexico #Louisiana https://t.co/tg9EH3FSAd	Lit-News_mentions
101630	La Sanidad Españala incluye las diarreas, cefaleas o el dolor torácico como síntomas sospechosos de Covid-19 https://t.co/dGYOqj2Lex	Lit-News_mentions
102369	Dan de alta a persona con supuestos síntomas de coronavirus en Puerto Rico. CANAL 1 TELE 1⬇️  https://t.co/cLfzxLDfo6 https://t.co/t56dFesj5w	Lit-News_mentions
100261	Aunque los síntomas más comunes de la COVID-19 son fiebre, dificultad para respirar, tos seca y cansancio, ten en cuenta otras afecciones para detectar el virus a tiempo. #SigamosCuidándonos😷 https://t.co/PeHTUTGKn8	Lit-News_mentions
105182	CSIF @CSIFZaragoza @AragonCsif  participa en la Ofrenda de Frutos reducida por el coronavirus https://t.co/uKJGAX1uPO https://t.co/ieEVIkBkQl	Lit-News_mentions
100634	Síntomas del COVID-19Fiebre o escalofríos.Tos.Dificultad para respirar (sentir que le falta el aire)Fatiga.Dolores musculares y corporales.Dolor de cabeza.Pérdida reciente del olfato o el gusto.Dolor de garganta.	Lit-News_mentions
104435	“Olor a podrido” y otras distorsiones: la ciencia estudia las alteraciones del olfato en algunos pacientes con COVID-19https://t.co/u3kf8v2YBw	Lit-News_mentions
104721	La revisión de estas alteraciones neurológicas (como pérdida del olfato y estado mental alterado) puede ayudar a identificar clara y tempranamente a los posibles pacientes de #COVIDー19	Lit-News_mentions
100742	La mayoría de las personas que padecen COVID-19 sufren síntomas de intensidad leve a moderada y se recuperan sin necesidad de tratamientos especiales. Sin embargo, algunas personas desarrollan casos graves y necesitan atención médica. https://t.co/mEeqKlEAk9	Lit-News_mentions
